Journal	JournalFullName	ISSN	2025IF	2025AI
SOCIOL SPECTRUM	SOCIOLOGICAL SPECTRUM	0273-2173	1.1	0.737
SOCIOL THEOR	SOCIOLOGICAL THEORY	0735-2751	4.3	2.917
SOCIOL OBOZR	SOCIOLOGICESKOE OBOZRENIE	1728-192X	0.5	0.184
SOCIOL CAS	SOCIOLOGICKY CASOPIS-CZECH SOCIOLOGICAL REVIEW	N/A	0.4	0.144
SOCIOL TRAV	SOCIOLOGIE DU TRAVAIL	0038-0296	0.5	0.161
SOCIOLOGIJA	SOCIOLOGIJA	0038-0318	0.6	0.135
SOCIOL FORSKNIN	SOCIOLOGISK FORSKNING	0038-0342	0.3	0.226
SOCIOLOGUS	SOCIOLOGUS	0038-0377	0.1	0.067
SOCIOL COMPASS	SOCIOLOGY COMPASS	1751-9020	2.5	1.347
SOCIOLOGY LENS	SOCIOLOGY LENS	2832-5796	0.6	0.194
SOCIOL DEV	SOCIOLOGY OF DEVELOPMENT	N/A	1.6	0.58
SOCIOL EDUC	SOCIOLOGY OF EDUCATION	0038-0407	4.4	2.398
SOCIOL HEALTH ILL	SOCIOLOGY OF HEALTH & ILLNESS	0141-9889	2.6	1.018
SOCIOL RACE ETHNIC	SOCIOLOGY OF RACE AND ETHNICITY	2332-6492	2.6	1.564
SOCIOL RELIG	SOCIOLOGY OF RELIGION	1069-4404	2.2	1.183
SOCIOL SPORT J	SOCIOLOGY OF SPORT JOURNAL	0741-1235	2.4	0.605
SOCIOLOGY	SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION	0038-0385	3.3	1.459
SOCIUS	SOCIUS	2378-0231	1.9	1.192
SODOB PEDAGOG	SODOBNA PEDAGOGIKA-JOURNAL OF CONTEMPORARY EDUCATIONAL STUDIES	0038-0474	0.2	0.041
SOFT MATER	SOFT MATERIALS	1539-445X	1.1	0.169
SOFT MATTER	SOFT MATTER	1744-683X	2.9	0.635
SOFT ROBOT	SOFT ROBOTICS	2169-5172	5.5	2.015
SOFT SCI-US	SOFT SCIENCE	N/A	15.9	2.284
SOFTW SYST MODEL	SOFTWARE AND SYSTEMS MODELING	1619-1366	3.0	0.372
SOFTW IMPACTS	SOFTWARE IMPACTS	2665-9638	1.5	0.389
SOFTWARE QUAL J	SOFTWARE QUALITY JOURNAL	0963-9314	2.4	0.343
SOFTW TEST VERIF REL	SOFTWARE TESTING VERIFICATION & RELIABILITY	0960-0833	1.7	0.282
SOFTWARE PRACT EXPER	SOFTWARE-PRACTICE & EXPERIENCE	0038-0644	3.5	0.543
SOFTWAREX	SOFTWAREX	2352-7110	1.9	0.672
SOIL-GERMANY	SOIL	2199-3971	5.1	2.14
SOIL ENVIRON	SOIL & ENVIRONMENT	2074-9546	0.8	0.1
SOIL ENVIRON HEALTH	SOIL & ENVIRONMENTAL HEALTH	N/A	9.4	1.526
SOIL SEDIMENT CONTAM	SOIL & SEDIMENT CONTAMINATION	1532-0383	1.9	0.235
SOIL TILL RES	SOIL & TILLAGE RESEARCH	0167-1987	8.4	1.44
SOIL WATER RES	SOIL AND WATER RESEARCH	1801-5395	2.1	0.301
SOIL BIOL BIOCHEM	SOIL BIOLOGY & BIOCHEMISTRY	0038-0717	12.2	2.811
SOIL DYN EARTHQ ENG	SOIL DYNAMICS AND EARTHQUAKE ENGINEERING	0267-7261	5.1	0.867
SOIL ECOL LETT	SOIL ECOLOGY LETTERS	2662-2289	4.0	0.818
SOIL MECH FOUND ENG+	SOIL MECHANICS AND FOUNDATION ENGINEERING	0038-0741	0.7	0.15
SOIL RES	SOIL RESEARCH	1838-675X	1.6	0.321
SOIL SCI PLANT NUTR	SOIL SCIENCE AND PLANT NUTRITION	0038-0768	2.1	0.403
SOIL SCI ANNU	SOIL SCIENCE ANNUAL	2300-4967	1.3	0.201
SOIL SCI SOC AM J	SOIL SCIENCE SOCIETY OF AMERICA JOURNAL	0361-5995	2.6	0.625
SOIL SYST	SOIL SYSTEMS	N/A	4.1	0.681
SOIL USE MANAGE	SOIL USE AND MANAGEMENT	0266-0032	3.6	0.756
SOILS FOUND	SOILS AND FOUNDATIONS	0038-0806	3.7	0.899
SOILS ROCKS	SOILS AND ROCKS	1980-9743	1.3	0.18
SOJOURN	SOJOURN-JOURNAL OF SOCIAL ISSUES IN SOUTHEAST ASIA	0217-9520	0.4	0.321
SOLA	SOLA	1349-6476	1.2	0.417
SOLAR-BASEL	SOLAR	N/A	5.1	0.614
SOL ENERGY	SOLAR ENERGY	0038-092X	7.9	1.02
SOL ENERG MAT SOL C	SOLAR ENERGY MATERIALS AND SOLAR CELLS	0927-0248	6.6	0.927
SOL PHYS	SOLAR PHYSICS	0038-0938	2.4	0.68
SOL RRL	SOLAR RRL	2367-198X	4.8	0.883
SOLAR SYST RES+	SOLAR SYSTEM RESEARCH	0038-0946	0.7	0.16
SOL-TERR PHYS	SOLAR-TERRESTRIAL PHYSICS	2500-0535	0.6	0.16
SOLDAGEM INSP	SOLDAGEM & INSPECAO	0104-9224	1.7	0.129
SOLDER SURF MT TECH	SOLDERING & SURFACE MOUNT TECHNOLOGY	0954-0911	2.2	0.298
SOLETRAS	SOLETRAS	1519-7778	0.0	0.087
SOLID EARTH	SOLID EARTH	1869-9510	2.3	1.027
SOLID EARTH SCI	SOLID EARTH SCIENCES	2451-912X	2.7	0.477
SOLID FUEL CHEM+	SOLID FUEL CHEMISTRY	0361-5219	0.8	0.094
SOLID STATE COMMUN	SOLID STATE COMMUNICATIONS	0038-1098	2.8	0.342
SOLID STATE IONICS	SOLID STATE IONICS	0167-2738	3.7	0.503
SOLID STATE NUCL MAG	SOLID STATE NUCLEAR MAGNETIC RESONANCE	0926-2040	1.8	0.523
SOLID STATE SCI	SOLID STATE SCIENCES	1293-2558	3.6	0.425
SOLIDS-BASEL	SOLIDS	N/A	2.1	0.43
SOLID STATE ELECTRON	SOLID-STATE ELECTRONICS	0038-1101	1.4	0.248
SOLVENT EXTR ION EXC	SOLVENT EXTRACTION AND ION EXCHANGE	0736-6299	2.1	0.275
SOLVENT EXTR RES DEV	SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN	1341-7215	0.6	0.082
SOMATECHNICS	SOMATECHNICS	2044-0138	0.8	0.303
SOMATOSENS MOT RES	SOMATOSENSORY AND MOTOR RESEARCH	0899-0220	1.5	0.354
SOMNOLOGIE	SOMNOLOGIE	1432-9123	0.8	0.166
SONOGRAPHY-AUST	SONOGRAPHY	2202-8323	0.4	0.089
SOPHIA	SOPHIA	0038-1527	0.6	0.315
SOPHIA-COLECCION FIL	SOPHIA-COLECCION DE FILOSOFIA DE LA EDUCACION	1390-3861	1.0	0.112
SOPHIA-EDUC	SOPHIA-EDUCACION	1794-8932	0.0	0.016
SORT-STAT OPER RES T	SORT-STATISTICS AND OPERATIONS RESEARCH TRANSACTIONS	1696-2281	1.6	0.561
SOSYOEKONOMI	SOSYOEKONOMI	1305-5577	0.6	0.063
SOTSIOL ISSLED+	SOTSIOLOGICHESKIE ISSLEDOVANIYA	0132-1625	0.6	0.171
SOUND VIB	SOUND AND VIBRATION	1541-0161	4.2	0.231
SOUND STUD	SOUND STUDIES	2055-1940	0.8	0.494
SOURCE-NOTE HIST ART	SOURCE-NOTES IN THE HISTORY OF ART	0737-4453	0.3	0.249
S AFR ACTUAR J	SOUTH AFRICAN ACTUARIAL JOURNAL	1680-2179	0.0	0.01
S AFR CRIME Q	SOUTH AFRICAN CRIME QUARTERLY-SACQ	1991-3877	1.0	0.267
S AFR FAM PRACT	SOUTH AFRICAN FAMILY PRACTICE	2078-6190	1.2	0.294
S AFR GEOGR J	SOUTH AFRICAN GEOGRAPHICAL JOURNAL	0373-6245	1.6	0.313
S AFR HIST J	SOUTH AFRICAN HISTORICAL JOURNAL	0258-2473	0.3	0.217
S AFR J RES SPORT PH	SOUTH AFRICAN JOURNAL FOR RESEARCH IN SPORT PHYSICAL EDUCATION AND RECREATION	0379-9069	0.7	0.0
S AFR J ACCOUNT RES	SOUTH AFRICAN JOURNAL OF ACCOUNTING RESEARCH	1029-1954	1.7	0.194
S AFR J AFR LANG	SOUTH AFRICAN JOURNAL OF AFRICAN LANGUAGES	0257-2117	0.3	0.103
S AFR J ANIM SCI	SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE	0375-1589	0.8	0.125
SOUTH AFR J ART HIST	SOUTH AFRICAN JOURNAL OF ART HISTORY	0258-3542	0.1	0.004
S AFR J BOT	SOUTH AFRICAN JOURNAL OF BOTANY	0254-6299	3.1	0.415
S AFR J BUS MANAG	SOUTH AFRICAN JOURNAL OF BUSINESS MANAGEMENT	2078-5585	1.7	0.225
S AFR J CHEM ENG	SOUTH AFRICAN JOURNAL OF CHEMICAL ENGINEERING	1026-9185	6.3	0.0
S AFR J CHEM-S-AFR T	SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE	0379-4350	1.1	0.176
S AFR J CHILD HEALTH	SOUTH AFRICAN JOURNAL OF CHILD HEALTH	1994-3032	0.5	0.172
S AFR J CHILD EDUC	SOUTH AFRICAN JOURNAL OF CHILDHOOD EDUCATION	2223-7674	0.9	0.25
S AFR J CLIN NUTR	SOUTH AFRICAN JOURNAL OF CLINICAL NUTRITION	1607-0658	1.4	0.321
S AFR J COMMUN DISOR	SOUTH AFRICAN JOURNAL OF COMMUNICATION DISORDERS	0379-8046	1.7	0.389
SOUTH AFR J CULT HIS	SOUTH AFRICAN JOURNAL OF CULTURAL HISTORY	1011-3053	0.1	0.042
S AFR J ECON MANAG S	SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES	1015-8812	1.2	0.204
S AFR J ECON	SOUTH AFRICAN JOURNAL OF ECONOMICS	0038-2280	1.3	0.301
S AFR J EDUC	SOUTH AFRICAN JOURNAL OF EDUCATION	0256-0100	0.7	0.163
S AFR J ENOL VITIC	SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE	0253-939X	1.4	0.206
S AFR J GEOL	SOUTH AFRICAN JOURNAL OF GEOLOGY	1012-0750	1.1	0.402
S AFR J GEOMAT	SOUTH AFRICAN JOURNAL OF GEOMATICS	2225-8531	0.6	0.127
S AFR J HIGH EDUC	SOUTH AFRICAN JOURNAL OF HIGHER EDUCATION	1011-3487	0.8	0.202
S AFR J IND ENG	SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING	1012-277X	0.7	0.101
S AFR J INFORM MANAG	SOUTH AFRICAN JOURNAL OF INFORMATION MANAGEMENT	2078-1865	1.1	0.169
S AFR J INT AFF	SOUTH AFRICAN JOURNAL OF INTERNATIONAL AFFAIRS-SAJIA	1022-0461	1.9	0.457
S AFR J LIBR INF	SOUTH AFRICAN JOURNAL OF LIBRARIES AND INFORMATION SCIENCE	0256-8861	1.1	0.193
S AFR J PHILOS	SOUTH AFRICAN JOURNAL OF PHILOSOPHY	0258-0136	0.3	0.143
SOUTH AFR J PHYSIOTH	SOUTH AFRICAN JOURNAL OF PHYSIOTHERAPY	0379-6175	1.3	0.326
S AFR J PLANT SOIL	SOUTH AFRICAN JOURNAL OF PLANT AND SOIL	0257-1862	0.6	0.148
SAJP-S AFR J PSYCHI	SOUTH AFRICAN JOURNAL OF PSYCHIATRY	1608-9685	1.3	0.338
S AFR J PSYCHOL	SOUTH AFRICAN JOURNAL OF PSYCHOLOGY	0081-2463	1.1	0.398
S AFR J SCI	SOUTH AFRICAN JOURNAL OF SCIENCE	0038-2353	1.9	0.526
S AFR J SURG	SOUTH AFRICAN JOURNAL OF SURGERY	0038-2361	0.6	0.148
S AFR J HUM RIGHTS	SOUTH AFRICAN JOURNAL ON HUMAN RIGHTS	0258-7203	0.6	0.158
S AFR MUS ASSOC BULL	SOUTH AFRICAN MUSEUMS ASSOCIATION BULLETIN	0370-8314	0.0	0.038
S AFR REV SOCIOL	SOUTH AFRICAN REVIEW OF SOCIOLOGY	2152-8586	0.5	0.196
S AFR STAT J	SOUTH AFRICAN STATISTICAL JOURNAL	0038-271X	0.4	0.096
S AFR THEATRE J	SOUTH AFRICAN THEATRE JOURNAL	1013-7548	0.3	0.103
S AM J HERPETOL	SOUTH AMERICAN JOURNAL OF HERPETOLOGY	1808-9798	1.0	0.265
SOUTH ASIA RES	SOUTH ASIA RESEARCH	0262-7280	0.4	0.301
S ASIA	SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES	0085-6401	0.5	0.419
SOUTH ASIAN DIASPORA	SOUTH ASIAN DIASPORA	1943-8192	0.6	0.312
SOUTH ASIAN HIST CUL	SOUTH ASIAN HISTORY AND CULTURE	1947-2498	0.5	0.471
S ASIAN J BUS STUD	SOUTH ASIAN JOURNAL OF BUSINESS STUDIES	2398-628X	2.9	0.363
SOUTH ASIAN J CANCER	SOUTH ASIAN JOURNAL OF CANCER	2278-330X	0.7	0.176
S ASIAN J HUM RE MAN	SOUTH ASIAN JOURNAL OF HUMAN RESOURCE MANAGEMENT	2322-0937	1.7	0.269
S ASIAN J MACROEC PU	SOUTH ASIAN JOURNAL OF MACROECONOMICS AND PUBLIC FINANCE	2277-9787	0.9	0.127
S ASIAN POPUL CULT	SOUTH ASIAN POPULAR CULTURE	1474-6689	0.3	0.353
S ASIAN REV	SOUTH ASIAN REVIEW	0275-9527	0.6	0.0
S ASIAN STUD-UK	SOUTH ASIAN STUDIES	0266-6030	0.6	0.375
S ATL Q	SOUTH ATLANTIC QUARTERLY	0038-2876	1.1	1.177
S CENT REV	SOUTH CENTRAL REVIEW	0743-6831	0.1	0.051
SOUTH EAST ASIA RES	SOUTH EAST ASIA RESEARCH	0967-828X	0.7	0.395
S E ASIAN J MANAGE	SOUTH EAST ASIAN JOURNAL OF MANAGEMENT	1978-1989	1.0	0.115
S E EUR J ECON BUS	SOUTH EAST EUROPEAN JOURNAL OF ECONOMICS AND BUSINESS	1840-118X	0.6	0.126
S EUR SOC POLIT	SOUTH EUROPEAN SOCIETY AND POLITICS	1360-8746	3.4	1.287
S RUSS-ECOL DEV	SOUTH OF RUSSIA-ECOLOGY DEVELOPMENT	1992-1098	0.3	0.026
SE ASIAN B MATH	SOUTHEAST ASIAN BULLETIN OF MATHEMATICS	0129-2021	0.1	0.043
SE ASIAN STUD	SOUTHEAST ASIAN STUDIES	2186-7275	0.9	0.471
SE EUR BLACK SEA STU	SOUTHEAST EUROPEAN AND BLACK SEA STUDIES	1468-3857	2.1	0.707
SOUTHEAST EUR	SOUTHEASTERN EUROPE	0094-4467	0.5	0.122
SOUTHEAST GEOGR	SOUTHEASTERN GEOGRAPHER	0038-366X	0.9	0.172
SOUTHEAST NAT	SOUTHEASTERN NATURALIST	1528-7092	0.4	0.121
SOUTH AFR BUS REV	SOUTHERN AFRICAN BUSINESS REVIEW	1998-8125	0.5	0.11
SOUTH AFR HUMANIT	SOUTHERN AFRICAN HUMANITIES	1681-5564	0.6	0.271
SO AFR J ACCOUNT AUD	SOUTHERN AFRICAN JOURNAL OF ACCOUNTABILITY AND AUDITING RESEARCH-SAJAAR	1028-9011	0.3	0.041
SOUTH AFR J ANAESTH	SOUTHERN AFRICAN JOURNAL OF ANAESTHESIA AND ANALGESIA	2220-1181	0.3	0.096
SOUTH AFR J CRIT CAR	SOUTHERN AFRICAN JOURNAL OF CRITICAL CARE	1562-8264	1.2	0.349
SO AFR J ENTREP SMAL	SOUTHERN AFRICAN JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT (SAJESBM)	2522-7343	1.7	0.0
SOUTH AFR J GYNAECOL	SOUTHERN AFRICAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY	2074-2835	0.0	0.064
S AFR J HIV MED	SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE	1608-9693	1.8	0.57
SOUTH AFR J INFECT D	SOUTHERN AFRICAN JOURNAL OF INFECTIOUS DISEASES	2312-0053	1.2	0.343
SO AFR LINGUIST APPL	SOUTHERN AFRICAN LINGUISTICS AND APPLIED LANGUAGE STUDIES	1607-3614	0.5	0.157
SOUTH CALIF LAW REV	SOUTHERN CALIFORNIA LAW REVIEW	0038-3910	1.4	0.742
SOUTH COMMUN J	SOUTHERN COMMUNICATION JOURNAL	1041-794X	0.7	0.428
SOUTH CULT	SOUTHERN CULTURES	1068-8218	0.3	0.172
SOUTH ECON J	SOUTHERN ECONOMIC JOURNAL	0038-4038	1.1	0.655
SOUTH FORESTS	SOUTHERN FORESTS-A JOURNAL OF FOREST SCIENCE	2070-2620	1.2	0.171
SOUTHERN HUMAN REV	SOUTHERN HUMANITIES REVIEW	0038-4186	0.0	0.0
SOUTHERN J PHILOS	SOUTHERN JOURNAL OF PHILOSOPHY	0038-4283	0.6	0.607
SOUTH MED J	SOUTHERN MEDICAL JOURNAL	0038-4348	0.9	0.299
SOUTHWEST ENTOMOL	SOUTHWESTERN ENTOMOLOGIST	0147-1724	0.4	0.07
SOUTHWEST HIST QUART	SOUTHWESTERN HISTORICAL QUARTERLY	0038-478X	0.3	0.209
SOUTHWEST NAT	SOUTHWESTERN NATURALIST	0038-4909	0.3	0.093
SOV POST SOV REV	SOVIET AND POST SOVIET REVIEW	1075-1262	0.7	0.53
SOVREM TEHNOL MED	SOVREMENNYE TEHNOLOGII V MEDICINE	2076-4243	1.0	0.227
SOZ WELT	SOZIALE WELT-ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG UND PRAXIS	0038-6073	0.6	0.261
SPACE	SPACE	1228-2472	0.1	0.028
SPACE FORM	SPACE & FORM	1895-3247	0.2	0.0
SPACE CULT	SPACE AND CULTURE	1206-3312	1.2	0.476
SPACE POLITY	SPACE AND POLITY	1356-2576	1.4	0.617
SPACE POLICY	SPACE POLICY	0265-9646	2.7	0.608
SPACE SCI TECHNOL	SPACE SCIENCE AND TECHNOLOGY	1561-8889	0.4	0.076
SPACE SCI REV	SPACE SCIENCE REVIEWS	0038-6308	9.8	3.803
SPACE WEATHER	SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS	N/A	3.8	1.028
SPACE-SCI TECH-CHINA	SPACE-SCIENCE & TECHNOLOGY	N/A	6.4	1.227
SPAL	SPAL	1133-4525	0.7	0.517
SPAN CONTEXT	SPANISH IN CONTEXT	1571-0718	0.6	0.28
SPAN J AGRIC RES	SPANISH JOURNAL OF AGRICULTURAL RESEARCH	1695-971X	1.0	0.153
SPAN J FINANC ACCOUN	SPANISH JOURNAL OF FINANCE AND ACCOUNTING-REVISTA ESPANOLA DE FINANCIACION Y CONTABILIDAD	0210-2412	1.0	0.16
SPAN J MARK-ESIC	SPANISH JOURNAL OF MARKETING-ESIC	2444-9695	6.0	0.0
SPAN J MED EDUC	SPANISH JOURNAL OF MEDICAL EDUCATION	N/A	0.7	0.129
SPAN J PSYCHIAT MENT	SPANISH JOURNAL OF PSYCHIATRY AND MENTAL HEALTH	2950-2861	2.6	0.649
SPAN J PSYCHOL	SPANISH JOURNAL OF PSYCHOLOGY	1138-7416	2.8	0.823
SPAN J SOIL SCI	SPANISH JOURNAL OF SOIL SCIENCE	2253-6574	2.6	0.366
SPAT SPATIO-TEMPORAL	SPATIAL AND SPATIO-TEMPORAL EPIDEMIOLOGY	1877-5845	1.5	0.582
SPAT COGN COMPUT	SPATIAL COGNITION AND COMPUTATION	1387-5868	1.8	0.452
SPAT DEMOGR	SPATIAL DEMOGRAPHY	2364-2289	1.6	0.739
SPAT ECON ANAL	SPATIAL ECONOMIC ANALYSIS	1742-1772	2.9	0.6
SPAT INF RES	SPATIAL INFORMATION RESEARCH	2366-3286	2.5	0.404
SPAT STAT-NETH	SPATIAL STATISTICS	2211-6753	2.7	0.72
SPAZ MUS	SPAZI DELLA MUSICA	2240-7944	0.0	0.0
SPE J	SPE JOURNAL	1086-055X	2.9	0.443
SPE POLYM	SPE POLYMERS	2690-3857	6.4	0.0
SPEC CARE DENT	SPECIAL CARE IN DENTISTRY	0275-1879	1.4	0.258
SPEC MATRICES	SPECIAL MATRICES	2300-7451	0.7	0.387
SPEC TOP REV POROUS	SPECIAL TOPICS & REVIEWS IN POROUS MEDIA-AN INTERNATIONAL JOURNAL	2151-4798	2.1	0.172
SPECTROCHIM ACTA A	SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY	1386-1425	4.8	0.523
SPECTROCHIM ACTA B	SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY	0584-8547	3.5	0.511
SPECTROSCOPY-US	SPECTROSCOPY	0887-6703	1.7	0.238
SPECTROSC SPECT ANAL	SPECTROSCOPY AND SPECTRAL ANALYSIS	1000-0593	0.8	0.091
SPECTROSC LETT	SPECTROSCOPY LETTERS	0038-7010	1.4	0.192
SPECTRUM-J BLACK MEN	SPECTRUM	2162-3244	0.7	0.142
SPECULA	SPECULA. REVISTA DE HUMANIDADES Y ESPIRITUALIDAD	2697-2484	0.1	0.238
SPECULUM	SPECULUM-A JOURNAL OF MEDIEVAL STUDIES	0038-7134	1.0	1.093
SPEECH COMMUN	SPEECH COMMUNICATION	0167-6393	2.9	0.599
SPEECH LANG HEARING	SPEECH LANGUAGE AND HEARING	2050-571X	1.1	0.323
SPEKTRUM AUGENHEILKD	SPEKTRUM DER AUGENHEILKUNDE	0930-4282	0.1	0.042
SPIEGEL LETT	SPIEGEL DER LETTEREN	0038-7479	0.0	0.03
SPIN-SINGAPORE	SPIN	2010-3247	0.8	0.143
SPINAL CORD	SPINAL CORD	1362-4393	1.8	0.605
SPINAL CORD SER CASE	SPINAL CORD SERIES AND CASES	2058-6124	0.7	0.231
SPINE	SPINE	0362-2436	3.7	0.943
SPINE DEFORM	SPINE DEFORMITY	2212-134X	1.7	0.493
SPINE J	SPINE JOURNAL	1529-9430	5.1	1.472
SPINE SURG RELAT RES	SPINE SURGERY AND RELATED RESEARCH	2432-261X	1.6	0.479
SPIRITUAL CLIN PRACT	SPIRITUALITY IN CLINICAL PRACTICE	2326-4500	0.9	0.577
SPIRITUAL STUD	SPIRITUALITY STUDIES	N/A	0.4	0.157
SPIRITUS	SPIRITUS-A JOURNAL OF CHRISTIAN SPIRITUALITY	1533-1709	0.6	0.246
SPISANIE BULGARSKOTO	SPISANIE NA BULGARSKOTO GEOLOGICHESKO DRUZHESTVO-REVIEW OF THE BULGARIAN GEOLOGICAL SOCIETY	0007-3938	0.3	0.036
SPIXIANA	SPIXIANA	0341-8391	0.5	0.123
SPORT BUS MANAG	SPORT BUSINESS AND MANAGEMENT-AN INTERNATIONAL JOURNAL	2042-678X	1.9	0.405
SPORT EDUC SOC	SPORT EDUCATION AND SOCIETY	1357-3322	2.7	0.767
SPORT ETHICS PHILOS	SPORT ETHICS AND PHILOSOPHY	1751-1321	1.4	0.405
SPORT EXERC PERFORM	SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY	2157-3905	3.4	0.86
SPORT HIST REV	SPORT HISTORY REVIEW	1087-1659	0.5	0.254
SPORT HIST	SPORT IN HISTORY	1746-0263	0.6	0.308
SPORT SOC	SPORT IN SOCIETY	1743-0437	2.1	0.524
SPORT MANAG EDUC J	SPORT MANAGEMENT EDUCATION JOURNAL	1938-6974	0.9	0.219
SPORT MANAG REV	SPORT MANAGEMENT REVIEW	1441-3523	3.9	1.085
SPORT MARKET Q	SPORT MARKETING QUARTERLY	1061-6934	1.8	0.382
SPORT PSYCHOL	SPORT PSYCHOLOGIST	0888-4781	1.3	0.507
SPORT SCI HLTH	SPORT SCIENCES FOR HEALTH	1824-7490	1.3	0.293
SPORT TK	SPORT TK-REVISTA EUROAMERICANA DE CIENCIAS DEL DEPORTE	2254-4070	0.3	0.042
SPORTIS	SPORTIS-SCIENTIFIC TECHNICAL JOURNAL OF SCHOOL SPORT PHYSICAL EDUCATION AND PSYCHOMOTRICITY	2386-8333	1.0	0.097
SPORTS	SPORTS	N/A	3.2	0.754
SPORT BIOMECH	SPORTS BIOMECHANICS	1476-3141	2.0	0.678
SPORTS COACH REV	SPORTS COACHING REVIEW	2164-0629	2.2	0.666
SPORTS ENG	SPORTS ENGINEERING	1369-7072	1.4	0.279
SPORTS HEALTH	SPORTS HEALTH-A MULTIDISCIPLINARY APPROACH	1941-7381	3.1	1.101
SPORTS MED	SPORTS MEDICINE	0112-1642	11.0	3.669
SPORTS MED ARTHROSC	SPORTS MEDICINE AND ARTHROSCOPY REVIEW	1062-8592	1.5	0.777
SPORTS MED HLTH SCI	SPORTS MEDICINE AND HEALTH SCIENCE	2097-6291	3.1	0.827
SPORTS MED-OPEN	SPORTS MEDICINE-OPEN	2199-1170	6.2	1.789
SPORTVERLETZ SPORTSC	SPORTVERLETZUNG-SPORTSCHADEN	0932-0555	0.5	0.139
SPRACHE-STIMME-GEHOR	SPRACHE-STIMME-GEHOR	0342-0477	0.1	0.03
SPRACHWISSENSCHAFT	SPRACHWISSENSCHAFT	0344-8169	0.1	0.126
SPUR-SCHOLARSH PRACT	SPUR-SCHOLARSHIP AND PRACTICE OF UNDERGRADUATE RESEARCH	2476-101X	0.7	0.127
SRAVN POLIT	SRAVNITELNAYA POLITIKA-COMPARATIVE POLITICS	2221-3279	0.1	0.103
SRI LANKA J SOC SCI	SRI LANKA JOURNAL OF SOCIAL SCIENCES	0258-9710	1.0	0.16
SRI LANKAN J ANAESTH	SRI LANKAN JOURNAL OF ANAESTHESIOLOGY	1391-8834	0.2	0.033
SRP ARK CELOK LEK	SRPSKI ARHIV ZA CELOKUPNO LEKARSTVO	0370-8179	0.2	0.037
SSM-MENT HEALTH	SSM-MENTAL HEALTH	2666-5603	3.4	1.063
SSM-POPUL HLTH	SSM-POPULATION HEALTH	2352-8273	3.7	1.531
SSM-QUAL RES HEALTH	SSM-QUALITATIVE RESEARCH IN HEALTH	2667-3215	2.5	0.908
ST PETERSB MATH J+	ST PETERSBURG MATHEMATICAL JOURNAL	1061-0022	0.5	0.402
ST PETER POLY U J-PH	ST PETERSBURG POLYTECHNIC UNIVERSITY JOURNAL-PHYSICS AND MATHEMATICS	2405-7223	0.2	0.023
ST THERESA J HUMANIT	ST THERESA JOURNAL OF HUMANITIES AND SOCIAL SCIENCES	2408-2120	0.1	0.022
STABILITY	STABILITY-INTERNATIONAL JOURNAL OF SECURITY AND DEVELOPMENT	2165-2627	4.0	0.346
STAHLBAU	STAHLBAU	0038-9145	0.5	0.066
STAND-UK	STAND	0038-9366	0.0	0.056
STANFORD LAW REV	STANFORD LAW REVIEW	0038-9765	4.6	3.244
STANISL STUD	STANISLAVSKI STUDIES	2056-7790	0.1	0.072
STANOVNISTVO	STANOVNISTVO	0038-982X	0.6	0.0
STAPS-SCI TECH ACT P	STAPS-SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES	0247-106X	0.4	0.137
STAR PROTOC	STAR PROTOCOLS	2666-1667	1.4	0.768
STARCH-STARKE	STARCH-STARKE	N/A	2.6	0.344
STAT-US	STAT	2049-1573	0.8	0.53
STATA J	STATA JOURNAL	1536-867X	3.0	2.611
STATE CRIME	STATE CRIME	2046-6056	2.0	0.664
STATE POLIT POLICY Q	STATE POLITICS & POLICY QUARTERLY	1532-4400	1.2	0.865
STAT NEERL	STATISTICA NEERLANDICA	0039-0402	1.0	0.488
STAT SINICA	STATISTICA SINICA	1017-0405	1.2	1.253
STAT ANAL DATA MIN	STATISTICAL ANALYSIS AND DATA MINING-AN ASA DATA SCIENCE JOURNAL	1932-1864	1.1	0.539
STAT APPL GENET MOL	STATISTICAL APPLICATIONS IN GENETICS AND MOLECULAR BIOLOGY	2194-6302	0.8	0.212
STAT J IAOS	STATISTICAL JOURNAL OF THE IAOS	1874-7655	0.6	0.0
